runtime,revenue,budget,imdb_score,average_director_score,average_actor_score,average_genre_score
144.0,154985087.0,178000000.0,7.3,7.2875,6.980555555555555,6.320961401001224
152.0,533316061.0,185000000.0,9.0,8.425,7.067061803444781,6.470673892440342
96.0,292979556.0,175000000.0,8.3,8.233333333333334,7.297777777777778,6.3643759567275096
94.0,198332128.0,175000000.0,6.5,6.050000000000001,6.567857142857143,6.329869655400931
126.0,318298180.0,140000000.0,7.9,7.128571428571427,6.758732439335888,6.320961401001224
126.0,73820094.0,170000000.0,7.5,7.659999999999999,6.413725490196079,6.484096892868987
106.0,113745408.0,170000000.0,4.8,6.457142857142856,6.274912280701755,6.351662638410189
112.0,102176165.0,145000000.0,5.2,5.781818181818182,6.266163901458019,6.229180048136191
123.0,161087183.0,175000000.0,6.9,6.771428571428572,6.41,6.28953248237485
96.0,100289690.0,175000000.0,5.4,6.314285714285715,6.526347517730496,6.249116617292846
113.0,100189501.0,178000000.0,7.9,7.128571428571427,7.365708812260536,6.320961401001224
176.0,88246220.0,175000000.0,6.1,6.68,6.023333333333333,6.319282354790606
118.0,150167630.0,175000000.0,5.8,6.075,6.317942583732058,6.319282354790606
95.0,356454367.0,175000000.0,8.3,8.233333333333334,6.492857142857143,6.4213859226917975
106.0,362645141.0,175000000.0,7.8,7.128571428571427,6.744771241830065,6.439259187950954
124.0,312057433.0,200000000.0,7.0,7.128571428571427,6.854010217113665,6.320961401001224
132.0,155111815.0,170000000.0,6.1,6.1,6.5616666666666665,6.437969432606558
97.0,241407328.0,180000000.0,7.0,7.0,6.695666666666667,6.336751463821339
130.0,208543795.0,170000000.0,7.6,6.675000000000001,6.6000144927536235,6.431661682979136
109.0,25517500.0,20000000.0,4.5,5.0,4.988888888888889,6.353367843885517
128.0,38297305.0,175000000.0,6.3,6.3,6.415888888888889,6.437969432606558
136.0,259746958.0,170000000.0,7.8,7.0,6.9416452991453,6.320961401001224
93.0,238371987.0,165000000.0,6.4,5.675,6.396296296296296,6.352910601447581
130.0,93417865.0,190000000.0,6.5,7.58,6.398444444444444,6.338867829611724
102.0,222487711.0,165000000.0,7.9,7.9,6.6000000000000005,6.391854351616923
101.0,189412677.0,165000000.0,7.8,7.8,6.5640873015873025,6.347864401745644
100.0,665426.0,165000000.0,6.6,7.307692307692308,6.766666666666666,6.392326820185545
120.0,102315545.0,165000000.0,5.5,6.1875,6.4567460317460315,6.320961401001224
98.0,217387997.0,165000000.0,8.2,7.766666666666667,6.931388888888889,6.392326820185545
109.0,150350192.0,200000000.0,6.4,6.549999999999999,6.622222222222223,6.260857052747772
121.0,333130696.0,170000000.0,8.1,7.133333333333333,6.578450292397661,6.320961401001224
169.0,187991439.0,165000000.0,8.6,8.425,7.1321581196581185,6.495583602746394
148.0,292568851.0,160000000.0,8.8,8.425,7.362814378603852,6.319282354790606
120.0,25517500.0,20000000.0,8.2,8.2,8.2,6.3140373109850785
182.0,303001229.0,180000000.0,7.9,7.675000000000001,7.530555555555556,6.374109638917998
106.0,144512310.0,38000000.0,6.7,5.781818181818182,6.402506265664161,6.37297768028283
166.0,127490802.0,150000000.0,7.8,7.75,6.824747899159664,6.507132960593046
132.0,146405371.0,160000000.0,7.8,7.65,6.7936507936507935,6.320961401001224
137.0,281666058.0,160000000.0,6.6,7.0,6.910666666666667,6.361494139663154
109.0,63143812.0,150000000.0,6.1,6.5,6.090980392156863,6.308292536642076
98.0,60655503.0,160000000.0,5.6,6.857142857142857,6.280952380952381,6.439768441564279
113.0,76846624.0,170000000.0,6.4,6.633333333333333,6.8347961320522295,6.331091407630313
93.0,320706665.0,160000000.0,6.1,6.4,5.8851851851851835,6.352910601447581
123.0,46978995.0,160000000.0,7.3,7.566666666666667,7.0181818181818185,6.329371733837786
126.0,89732035.0,155000000.0,6.6,6.85,6.680286738351254,6.320961401001224
113.0,104383624.0,155000000.0,6.3,6.516666666666666,6.483333333333333,6.331091407630313
184.0,198539855.0,140000000.0,6.1,6.638461538461538,6.026262626262626,6.721648607913392
144.0,318759914.0,150000000.0,7.1,6.638461538461538,6.784722222222221,6.320961401001224
206.0,34293771.0,155000000.0,5.5,6.95,6.770507936507937,6.7427976836484635
138.0,292000866.0,150000000.0,7.5,7.050000000000001,6.509722222222223,6.369918555722735
